Arthela,YR,Date DD/MM/ÅÅÅÅ
Gröngöling, Picus viridis,1980,06/05/1980
Gröngöling, Picus viridis,1981,13/04/1981
Gröngöling, Picus viridis,1983,05/05/1983
Gröngöling, Picus viridis,1985,11/05/1985
Gröngöling, Picus viridis,1986,02/04/1986
Gröngöling, Picus viridis,1989,01/04/1989
Gröngöling, Picus viridis,1990,09/04/1990
Gröngöling, Picus viridis,1992,28/03/1992
Gröngöling, Picus viridis,1993,06/05/1993
Gröngöling, Picus viridis,1995,11/04/1995
Gröngöling, Picus viridis,1998,24/03/1998
Gröngöling, Picus viridis,1999,19/03/1999
Gröngöling, Picus viridis,2000,11/04/2000
Gröngöling, Picus viridis,2001,30/03/2001
Gröngöling, Picus viridis,2002,29/05/2002
Gröngöling, Picus viridis,2003,19/04/2003
Gröngöling, Picus viridis,2005,23/03/2005
Gröngöling, Picus viridis,2007,26/03/2007
Gröngöling, Picus viridis,2008,20/04/2008
Gröngöling, Picus viridis,2010,01/04/2010
Gröngöling, Picus viridis,2012,01/04/2012
Gröngöling, Picus viridis,2013,17/04/2013
Gröngöling, Picus viridis,2014,03/05/2014
Gröngöling, Picus viridis,2015,16/04/2015
Gröngöling, Picus viridis,2016,06/05/2016
Gråsparv, Passer domesticus,1950,01/06/1950
Gråsparv, Passer domesticus,1951,03/05/1951
Gråsparv, Passer domesticus,1952,17/04/1952
Gråsparv, Passer domesticus,1959,31/03/1959
Gråsparv, Passer domesticus,1965,09/05/1965
Gråsparv, Passer domesticus,1967,01/05/1967
Gråsparv, Passer domesticus,1970,07/05/1970
Gråsparv, Passer domesticus,1973,20/04/1973
Gråsparv, Passer domesticus,1974,22/04/1974
Gråsparv, Passer domesticus,1975,11/04/1975
Gråsparv, Passer domesticus,1976,28/04/1976
Gråsparv, Passer domesticus,1978,03/05/1978
Gråsparv, Passer domesticus,1980,14/05/1980
Gråsparv, Passer domesticus,1981,01/05/1981
Gråsparv, Passer domesticus,1982,18/04/1982
Gråsparv, Passer domesticus,1986,29/04/1986
Gråsparv, Passer domesticus,1988,27/05/1988
Gråsparv, Passer domesticus,1994,29/04/1994
Gråsparv, Passer domesticus,1995,02/05/1995
Gråsparv, Passer domesticus,1996,27/05/1996
Gråsparv, Passer domesticus,2000,15/04/2000
Gråsparv, Passer domesticus,2002,21/04/2002
Gråsparv, Passer domesticus,2003,07/04/2003
Gråsparv, Passer domesticus,2004,28/04/2004
Gråsparv, Passer domesticus,2005,09/05/2005
Gråsparv, Passer domesticus,2006,10/04/2006
Gråsparv, Passer domesticus,2007,18/04/2007
Gråsparv, Passer domesticus,2008,27/04/2008
Gråsparv, Passer domesticus,2009,08/04/2009
Gråsparv, Passer domesticus,2010,28/03/2010
Gråsparv, Passer domesticus,2011,10/04/2011
Gråsparv, Passer domesticus,2012,07/05/2012
Gråsparv, Passer domesticus,2013,30/04/2013
Gråsparv, Passer domesticus,2014,30/04/2014
Gråsparv, Passer domesticus,2015,26/04/2015
Gråsparv, Passer domesticus,2016,16/04/2016
Gråsparv, Passer domesticus,2017,23/04/2017
Gulhämpling, Serinus serinus,1965,14/05/1965
Gulhämpling, Serinus serinus,1967,02/05/1967
Gulhämpling, Serinus serinus,1973,02/05/1973
Gulhämpling, Serinus serinus,1978,21/05/1978
Gulhämpling, Serinus serinus,1981,11/05/1981
Gulhämpling, Serinus serinus,1987,25/05/1987
Gulhämpling, Serinus serinus,1989,17/04/1989
Gulhämpling, Serinus serinus,1990,11/05/1990
Gulhämpling, Serinus serinus,1992,04/05/1992
Gulhämpling, Serinus serinus,1993,03/05/1993
Gulhämpling, Serinus serinus,1994,14/05/1994
Gulhämpling, Serinus serinus,1997,06/05/1997
Gulhämpling, Serinus serinus,1998,03/05/1998
Gulhämpling, Serinus serinus,1999,12/05/1999
Gulhämpling, Serinus serinus,2000,27/04/2000
Gulhämpling, Serinus serinus,2004,09/05/2004
Gulhämpling, Serinus serinus,2007,03/05/2007
Gulhämpling, Serinus serinus,2009,07/05/2009
Gulhämpling, Serinus serinus,2010,28/04/2010
Gulhämpling, Serinus serinus,2012,02/05/2012
Gulhämpling, Serinus serinus,2015,28/04/2015
Gulhämpling, Serinus serinus,2016,21/04/2016
Gulhämpling, Serinus serinus,2017,08/05/2017
Gulsparv, Emberiza citrinella,1951,03/05/1951
Gulsparv, Emberiza citrinella,1952,02/05/1952
Gulsparv, Emberiza citrinella,1954,19/04/1954
Gulsparv, Emberiza citrinella,1955,01/05/1955
Gulsparv, Emberiza citrinella,1956,17/04/1956
Gulsparv, Emberiza citrinella,1957,14/05/1957
Gulsparv, Emberiza citrinella,1958,23/04/1958
Gulsparv, Emberiza citrinella,1959,04/05/1959
Gulsparv, Emberiza citrinella,1960,16/04/1960
Gulsparv, Emberiza citrinella,1961,10/05/1961
Gulsparv, Emberiza citrinella,1962,23/04/1962
Gulsparv, Emberiza citrinella,1963,27/04/1963
Gulsparv, Emberiza citrinella,1964,28/04/1964
Gulsparv, Emberiza citrinella,1968,28/04/1968
Gulsparv, Emberiza citrinella,1969,15/04/1969
Gulsparv, Emberiza citrinella,1970,18/04/1970
Gulsparv, Emberiza citrinella,1971,17/04/1971
Gulsparv, Emberiza citrinella,1972,08/04/1972
Gulsparv, Emberiza citrinella,1973,10/04/1973
Gulsparv, Emberiza citrinella,1974,22/04/1974
Gulsparv, Emberiza citrinella,1975,21/04/1975
Gulsparv, Emberiza citrinella,1976,19/04/1976
Gulsparv, Emberiza citrinella,1977,19/04/1977
Gulsparv, Emberiza citrinella,1978,16/04/1978
Gulsparv, Emberiza citrinella,1979,17/04/1979
Gulsparv, Emberiza citrinella,1980,06/04/1980
Gulsparv, Emberiza citrinella,1981,06/04/1981
Gulsparv, Emberiza citrinella,1982,02/04/1982
Gulsparv, Emberiza citrinella,1983,12/04/1983
Gulsparv, Emberiza citrinella,1984,16/04/1984
Gulsparv, Emberiza citrinella,1985,13/04/1985
Gulsparv, Emberiza citrinella,1986,10/04/1986
Gulsparv, Emberiza citrinella,1987,10/04/1987
Gulsparv, Emberiza citrinella,1988,12/04/1988
Gulsparv, Emberiza citrinella,1989,12/04/1989
Gulsparv, Emberiza citrinella,1990,10/04/1990
Gulsparv, Emberiza citrinella,1991,10/04/1991
Gulsparv, Emberiza citrinella,1992,03/04/1992
Gulsparv, Emberiza citrinella,1993,14/04/1993
Gulsparv, Emberiza citrinella,1994,10/04/1994
Gulsparv, Emberiza citrinella,1995,08/04/1995
Gulsparv, Emberiza citrinella,1996,13/04/1996
Gulsparv, Emberiza citrinella,1997,27/04/1997
Gulsparv, Emberiza citrinella,1998,28/04/1998
Gulsparv, Emberiza citrinella,1999,02/04/1999
Gulsparv, Emberiza citrinella,2000,08/04/2000
Gulsparv, Emberiza citrinella,2001,05/04/2001
Gulsparv, Emberiza citrinella,2002,13/04/2002
Gulsparv, Emberiza citrinella,2003,01/04/2003
Gulsparv, Emberiza citrinella,2004,07/04/2004
Gulsparv, Emberiza citrinella,2005,12/04/2005
Gulsparv, Emberiza citrinella,2006,10/04/2006
Gulsparv, Emberiza citrinella,2007,05/04/2007
Gulsparv, Emberiza citrinella,2008,09/04/2008
Gulsparv, Emberiza citrinella,2009,31/03/2009
Gulsparv, Emberiza citrinella,2010,03/04/2010
Gulsparv, Emberiza citrinella,2011,03/04/2011
Gulsparv, Emberiza citrinella,2012,05/04/2012
Gulsparv, Emberiza citrinella,2013,08/04/2013
Gulsparv, Emberiza citrinella,2014,06/04/2014
Gulsparv, Emberiza citrinella,2015,18/03/2015
Gulsparv, Emberiza citrinella,2016,04/04/2016
Gulsparv, Emberiza citrinella,2017,01/04/2017
Gulärla, Motacilla flava,1956,31/05/1956
Gulärla, Motacilla flava,1958,05/06/1958
Gulärla, Motacilla flava,1960,07/06/1960
Gulärla, Motacilla flava,1961,21/05/1961
Gulärla, Motacilla flava,1962,02/06/1962
Gulärla, Motacilla flava,1963,27/05/1963
Gulärla, Motacilla flava,1964,02/06/1964
Gulärla, Motacilla flava,1969,24/05/1969
Gulärla, Motacilla flava,1970,16/05/1970
Gulärla, Motacilla flava,1971,24/05/1971
Gulärla, Motacilla flava,1972,13/05/1972
Gulärla, Motacilla flava,1974,06/06/1974
Gulärla, Motacilla flava,1977,07/05/1977
Gulärla, Motacilla flava,1978,17/05/1978
Gulärla, Motacilla flava,1981,14/05/1981
Gulärla, Motacilla flava,1982,26/05/1982
Gulärla, Motacilla flava,1983,07/06/1983
Gulärla, Motacilla flava,1984,17/05/1984
Gulärla, Motacilla flava,1985,17/05/1985
Gulärla, Motacilla flava,1988,20/05/1988
Gulärla, Motacilla flava,1989,08/05/1989
Gulärla, Motacilla flava,1991,17/05/1991
Gulärla, Motacilla flava,1992,06/05/1992
Gulärla, Motacilla flava,1993,11/05/1993
Gulärla, Motacilla flava,1994,26/05/1994
Gulärla, Motacilla flava,1995,25/05/1995
Gulärla, Motacilla flava,1997,15/05/1997
Gulärla, Motacilla flava,1999,16/05/1999
Gulärla, Motacilla flava,2000,02/05/2000
Gulärla, Motacilla flava,2001,30/05/2001
Gulärla, Motacilla flava,2005,23/05/2005
Gulärla, Motacilla flava,2006,23/05/2006
Gulärla, Motacilla flava,2008,14/05/2008
Gulärla, Motacilla flava,2011,31/05/2011
Gulärla, Motacilla flava,2014,14/05/2014
Gärdsmyg, Troglodytes troglodytes,1951,25/04/1951
Gärdsmyg, Troglodytes troglodytes,1952,15/04/1952
Gärdsmyg, Troglodytes troglodytes,1953,30/04/1953
Gärdsmyg, Troglodytes troglodytes,1954,30/05/1954
Gärdsmyg, Troglodytes troglodytes,1955,25/04/1955
Gärdsmyg, Troglodytes troglodytes,1956,02/05/1956
Gärdsmyg, Troglodytes troglodytes,1957,24/04/1957
Gärdsmyg, Troglodytes troglodytes,1958,02/05/1958
Gärdsmyg, Troglodytes troglodytes,1959,21/04/1959
Gärdsmyg, Troglodytes troglodytes,1960,29/04/1960
Gärdsmyg, Troglodytes troglodytes,1961,15/04/1961
Gärdsmyg, Troglodytes troglodytes,1962,03/05/1962
Gärdsmyg, Troglodytes troglodytes,1963,19/04/1963
Gärdsmyg, Troglodytes troglodytes,1964,25/04/1964
Gärdsmyg, Troglodytes troglodytes,1965,25/04/1965
Gärdsmyg, Troglodytes troglodytes,1967,24/04/1967
Gärdsmyg, Troglodytes troglodytes,1968,19/04/1968
Gärdsmyg, Troglodytes troglodytes,1969,23/04/1969
Gärdsmyg, Troglodytes troglodytes,1970,27/04/1970
Gärdsmyg, Troglodytes troglodytes,1971,26/04/1971
Gärdsmyg, Troglodytes troglodytes,1972,19/04/1972
Gärdsmyg, Troglodytes troglodytes,1973,27/04/1973
Gärdsmyg, Troglodytes troglodytes,1974,22/04/1974
Gärdsmyg, Troglodytes troglodytes,1975,25/04/1975
Gärdsmyg, Troglodytes troglodytes,1976,22/04/1976
Gärdsmyg, Troglodytes troglodytes,1977,24/04/1977
Gärdsmyg, Troglodytes troglodytes,1978,24/04/1978
Gärdsmyg, Troglodytes troglodytes,1979,14/04/1979
Gärdsmyg, Troglodytes troglodytes,1980,20/04/1980
Gärdsmyg, Troglodytes troglodytes,1981,21/04/1981
Gärdsmyg, Troglodytes troglodytes,1982,22/04/1982
Gärdsmyg, Troglodytes troglodytes,1983,13/04/1983
Gärdsmyg, Troglodytes troglodytes,1984,20/04/1984
Gärdsmyg, Troglodytes troglodytes,1985,15/04/1985
Gärdsmyg, Troglodytes troglodytes,1986,25/04/1986
Gärdsmyg, Troglodytes troglodytes,1987,15/04/1987
Gärdsmyg, Troglodytes troglodytes,1988,06/04/1988
Gärdsmyg, Troglodytes troglodytes,1989,12/04/1989
Gärdsmyg, Troglodytes troglodytes,1990,19/04/1990
Gärdsmyg, Troglodytes troglodytes,1991,14/04/1991
Gärdsmyg, Troglodytes troglodytes,1992,14/04/1992
Gärdsmyg, Troglodytes troglodytes,1993,15/04/1993
Gärdsmyg, Troglodytes troglodytes,1994,14/04/1994
Gärdsmyg, Troglodytes troglodytes,1995,24/04/1995
Gärdsmyg, Troglodytes troglodytes,1996,17/04/1996
Gärdsmyg, Troglodytes troglodytes,1997,25/04/1997
Gärdsmyg, Troglodytes troglodytes,1998,20/04/1998
Gärdsmyg, Troglodytes troglodytes,1999,11/04/1999
Gärdsmyg, Troglodytes troglodytes,2000,14/04/2000
Gärdsmyg, Troglodytes troglodytes,2001,16/04/2001
Gärdsmyg, Troglodytes troglodytes,2002,14/04/2002
Gärdsmyg, Troglodytes troglodytes,2003,17/04/2003
Gärdsmyg, Troglodytes troglodytes,2004,19/04/2004
Gärdsmyg, Troglodytes troglodytes,2005,20/04/2005
Gärdsmyg, Troglodytes troglodytes,2006,19/04/2006
Gärdsmyg, Troglodytes troglodytes,2007,09/04/2007
Gärdsmyg, Troglodytes troglodytes,2008,15/04/2008
Gärdsmyg, Troglodytes troglodytes,2009,16/04/2009
Gärdsmyg, Troglodytes troglodytes,2010,15/04/2010
Gärdsmyg, Troglodytes troglodytes,2011,20/04/2011
Gärdsmyg, Troglodytes troglodytes,2012,09/04/2012
Gärdsmyg, Troglodytes troglodytes,2013,21/04/2013
Gärdsmyg, Troglodytes troglodytes,2014,12/04/2014
Gärdsmyg, Troglodytes troglodytes,2015,16/04/2015
Gärdsmyg, Troglodytes troglodytes,2016,14/04/2016
Gärdsmyg, Troglodytes troglodytes,2017,10/04/2017
Gök, Cuculus canorus,1950,14/05/1950
Gök, Cuculus canorus,1951,29/05/1951
Gök, Cuculus canorus,1952,06/05/1952
Gök, Cuculus canorus,1953,22/05/1953
Gök, Cuculus canorus,1955,18/05/1955
Gök, Cuculus canorus,1957,15/05/1957
Gök, Cuculus canorus,1958,21/05/1958
Gök, Cuculus canorus,1959,27/05/1959
Gök, Cuculus canorus,1960,28/05/1960
Gök, Cuculus canorus,1961,23/05/1961
Gök, Cuculus canorus,1962,21/05/1962
Gök, Cuculus canorus,1963,03/06/1963
Gök, Cuculus canorus,1966,21/05/1966
Gök, Cuculus canorus,1968,14/06/1968
Gök, Cuculus canorus,1969,23/05/1969
Gök, Cuculus canorus,1971,04/06/1971
Gök, Cuculus canorus,1972,17/05/1972
Gök, Cuculus canorus,1973,20/05/1973
Gök, Cuculus canorus,1974,26/05/1974
Gök, Cuculus canorus,1976,04/06/1976
Gök, Cuculus canorus,1977,04/06/1977
Gök, Cuculus canorus,1980,25/05/1980
Gök, Cuculus canorus,1982,27/05/1982
Gök, Cuculus canorus,1983,15/05/1983
Gök, Cuculus canorus,1985,09/05/1985
Gök, Cuculus canorus,1986,02/06/1986
Gök, Cuculus canorus,1987,20/05/1987
Gök, Cuculus canorus,1991,03/06/1991
Gök, Cuculus canorus,1994,18/05/1994
Gök, Cuculus canorus,1995,13/05/1995
Gök, Cuculus canorus,1996,11/05/1996
Gök, Cuculus canorus,1998,17/05/1998
Gök, Cuculus canorus,2001,29/05/2001
Gök, Cuculus canorus,2003,17/05/2003
Gök, Cuculus canorus,2011,29/05/2011
Gök, Cuculus canorus,2012,29/05/2012
Gök, Cuculus canorus,2015,15/05/2015
Göktyta, Jynx torquilla,1950,14/05/1950
Göktyta, Jynx torquilla,1952,30/04/1952
Göktyta, Jynx torquilla,1953,05/05/1953
Göktyta, Jynx torquilla,1954,15/05/1954
Göktyta, Jynx torquilla,1955,06/05/1955
Göktyta, Jynx torquilla,1956,04/05/1956
Göktyta, Jynx torquilla,1957,06/05/1957
Göktyta, Jynx torquilla,1958,10/05/1958
Göktyta, Jynx torquilla,1959,04/05/1959
Göktyta, Jynx torquilla,1960,07/05/1960
Göktyta, Jynx torquilla,1961,06/05/1961
Göktyta, Jynx torquilla,1962,09/05/1962
Göktyta, Jynx torquilla,1963,02/05/1963
Göktyta, Jynx torquilla,1964,12/05/1964
Göktyta, Jynx torquilla,1965,06/05/1965
Göktyta, Jynx torquilla,1967,07/05/1967
Göktyta, Jynx torquilla,1968,28/04/1968
Göktyta, Jynx torquilla,1969,07/05/1969
Göktyta, Jynx torquilla,1970,11/05/1970
Göktyta, Jynx torquilla,1971,10/05/1971
Göktyta, Jynx torquilla,1972,10/05/1972
Göktyta, Jynx torquilla,1973,02/05/1973
Göktyta, Jynx torquilla,1974,07/05/1974
Göktyta, Jynx torquilla,1975,01/05/1975
Göktyta, Jynx torquilla,1976,09/05/1976
Göktyta, Jynx torquilla,1977,09/05/1977
Göktyta, Jynx torquilla,1978,07/05/1978
Göktyta, Jynx torquilla,1979,08/05/1979
Göktyta, Jynx torquilla,1980,10/05/1980
Göktyta, Jynx torquilla,1981,05/05/1981
Göktyta, Jynx torquilla,1982,10/05/1982
Göktyta, Jynx torquilla,1983,02/05/1983
Göktyta, Jynx torquilla,1984,04/05/1984
Göktyta, Jynx torquilla,1985,08/05/1985
Göktyta, Jynx torquilla,1986,04/05/1986
Göktyta, Jynx torquilla,1987,26/04/1987
Göktyta, Jynx torquilla,1988,06/05/1988
Göktyta, Jynx torquilla,1989,07/05/1989
Göktyta, Jynx torquilla,1990,02/05/1990
Göktyta, Jynx torquilla,1991,13/05/1991
Göktyta, Jynx torquilla,1992,08/05/1992
Göktyta, Jynx torquilla,1993,11/05/1993
Göktyta, Jynx torquilla,1994,09/05/1994
Göktyta, Jynx torquilla,1995,07/05/1995
Göktyta, Jynx torquilla,1996,08/05/1996
Göktyta, Jynx torquilla,1997,04/05/1997
Göktyta, Jynx torquilla,1998,29/04/1998
Göktyta, Jynx torquilla,1999,05/05/1999
Göktyta, Jynx torquilla,2001,03/05/2001
Göktyta, Jynx torquilla,2002,01/05/2002
Göktyta, Jynx torquilla,2003,29/04/2003
Göktyta, Jynx torquilla,2004,10/05/2004
Göktyta, Jynx torquilla,2005,03/05/2005
Göktyta, Jynx torquilla,2006,29/04/2006
Göktyta, Jynx torquilla,2007,02/05/2007
Göktyta, Jynx torquilla,2008,01/05/2008
Göktyta, Jynx torquilla,2009,27/04/2009
Göktyta, Jynx torquilla,2010,03/05/2010
Göktyta, Jynx torquilla,2011,05/05/2011
Göktyta, Jynx torquilla,2012,26/04/2012
Göktyta, Jynx torquilla,2013,04/05/2013
Göktyta, Jynx torquilla,2014,12/05/2014
Göktyta, Jynx torquilla,2015,24/04/2015
Göktyta, Jynx torquilla,2016,21/04/2016
Göktyta, Jynx torquilla,2017,09/05/2017
Halsbandsflugsnappare, Ficedula albicollis,1951,11/05/1951
Halsbandsflugsnappare, Ficedula albicollis,1952,03/05/1952
Halsbandsflugsnappare, Ficedula albicollis,1955,29/05/1955
Halsbandsflugsnappare, Ficedula albicollis,1959,16/05/1959
Halsbandsflugsnappare, Ficedula albicollis,1960,08/05/1960
Halsbandsflugsnappare, Ficedula albicollis,1961,30/05/1961
Halsbandsflugsnappare, Ficedula albicollis,1962,12/05/1962
Halsbandsflugsnappare, Ficedula albicollis,1963,20/04/1963
Halsbandsflugsnappare, Ficedula albicollis,1965,14/05/1965
Halsbandsflugsnappare, Ficedula albicollis,1969,08/05/1969
Halsbandsflugsnappare, Ficedula albicollis,1973,23/05/1973
Halsbandsflugsnappare, Ficedula albicollis,1974,06/05/1974
Halsbandsflugsnappare, Ficedula albicollis,1976,19/05/1976
Halsbandsflugsnappare, Ficedula albicollis,1977,09/05/1977
Halsbandsflugsnappare, Ficedula albicollis,1979,28/05/1979
Halsbandsflugsnappare, Ficedula albicollis,1980,16/05/1980
Halsbandsflugsnappare, Ficedula albicollis,1982,26/05/1982
Halsbandsflugsnappare, Ficedula albicollis,1983,24/05/1983
Halsbandsflugsnappare, Ficedula albicollis,1985,20/05/1985
Halsbandsflugsnappare, Ficedula albicollis,1986,27/05/1986
Halsbandsflugsnappare, Ficedula albicollis,1987,30/05/1987
Halsbandsflugsnappare, Ficedula albicollis,1988,14/05/1988
Halsbandsflugsnappare, Ficedula albicollis,1990,07/05/1990
Halsbandsflugsnappare, Ficedula albicollis,1991,05/05/1991
Halsbandsflugsnappare, Ficedula albicollis,1992,14/06/1992
Halsbandsflugsnappare, Ficedula albicollis,1993,24/04/1993
Halsbandsflugsnappare, Ficedula albicollis,1994,21/05/1994
Halsbandsflugsnappare, Ficedula albicollis,1995,16/05/1995
Halsbandsflugsnappare, Ficedula albicollis,1996,07/05/1996
Halsbandsflugsnappare, Ficedula albicollis,1997,09/05/1997
Halsbandsflugsnappare, Ficedula albicollis,1998,14/05/1998
Halsbandsflugsnappare, Ficedula albicollis,1999,07/05/1999
Halsbandsflugsnappare, Ficedula albicollis,2000,13/05/2000
Halsbandsflugsnappare, Ficedula albicollis,2001,19/05/2001
Halsbandsflugsnappare, Ficedula albicollis,2002,25/05/2002
Halsbandsflugsnappare, Ficedula albicollis,2004,11/05/2004
Halsbandsflugsnappare, Ficedula albicollis,2005,10/05/2005
Halsbandsflugsnappare, Ficedula albicollis,2006,11/05/2006
Halsbandsflugsnappare, Ficedula albicollis,2007,07/05/2007
Halsbandsflugsnappare, Ficedula albicollis,2008,19/05/2008
Halsbandsflugsnappare, Ficedula albicollis,2010,16/05/2010
Halsbandsflugsnappare, Ficedula albicollis,2011,11/05/2011
Halsbandsflugsnappare, Ficedula albicollis,2012,06/05/2012
Halsbandsflugsnappare, Ficedula albicollis,2013,19/05/2013
Halsbandsflugsnappare, Ficedula albicollis,2014,30/04/2014
Halsbandsflugsnappare, Ficedula albicollis,2015,01/05/2015
Halsbandsflugsnappare, Ficedula albicollis,2016,13/05/2016
Halsbandsflugsnappare, Ficedula albicollis,2017,07/05/2017
Strandskata, Haematopus ostralegus,2010,15/03/2010
Stäppsångare, Hippolais caligata,2003,30/05/2003
Härmsångare, Hippolais icterina,1950,26/05/1950
Härmsångare, Hippolais icterina,1951,31/05/1951
Härmsångare, Hippolais icterina,1952,26/05/1952
Härmsångare, Hippolais icterina,1953,03/06/1953
Härmsångare, Hippolais icterina,1954,28/05/1954
Härmsångare, Hippolais icterina,1955,01/06/1955
Härmsångare, Hippolais icterina,1956,06/06/1956
Härmsångare, Hippolais icterina,1957,01/06/1957
Härmsångare, Hippolais icterina,1958,31/05/1958
Härmsångare, Hippolais icterina,1959,28/05/1959
Härmsångare, Hippolais icterina,1960,28/05/1960
Härmsångare, Hippolais icterina,1961,28/05/1961
Härmsångare, Hippolais icterina,1962,04/06/1962
Härmsångare, Hippolais icterina,1963,04/06/1963
Härmsångare, Hippolais icterina,1964,30/05/1964
Härmsångare, Hippolais icterina,1965,02/06/1965
Härmsångare, Hippolais icterina,1966,04/06/1966
Härmsångare, Hippolais icterina,1967,06/06/1967
Härmsångare, Hippolais icterina,1968,26/05/1968
Härmsångare, Hippolais icterina,1969,01/06/1969
Härmsångare, Hippolais icterina,1970,02/06/1970
Härmsångare, Hippolais icterina,1971,26/05/1971
Härmsångare, Hippolais icterina,1972,30/05/1972
Härmsångare, Hippolais icterina,1973,30/05/1973
Härmsångare, Hippolais icterina,1974,30/05/1974
Härmsångare, Hippolais icterina,1975,30/05/1975
Härmsångare, Hippolais icterina,1976,03/06/1976
Härmsångare, Hippolais icterina,1977,29/05/1977
Härmsångare, Hippolais icterina,1978,28/05/1978
Härmsångare, Hippolais icterina,1979,30/05/1979
Härmsångare, Hippolais icterina,1980,01/06/1980
Härmsångare, Hippolais icterina,1981,28/05/1981
Härmsångare, Hippolais icterina,1982,30/05/1982
Härmsångare, Hippolais icterina,1983,27/05/1983
Härmsångare, Hippolais icterina,1984,29/05/1984
Härmsångare, Hippolais icterina,1985,28/05/1985
Härmsångare, Hippolais icterina,1986,01/06/1986
Härmsångare, Hippolais icterina,1987,05/06/1987
Härmsångare, Hippolais icterina,1988,30/05/1988
Härmsångare, Hippolais icterina,1989,03/06/1989
Härmsångare, Hippolais icterina,1990,01/06/1990
Härmsångare, Hippolais icterina,1991,29/05/1991
Härmsångare, Hippolais icterina,1992,28/05/1992
Härmsångare, Hippolais icterina,1993,28/05/1993
Härmsångare, Hippolais icterina,1994,23/05/1994
Härmsångare, Hippolais icterina,1995,29/05/1995
Härmsångare, Hippolais icterina,1996,30/05/1996
Härmsångare, Hippolais icterina,1997,24/05/1997
Härmsångare, Hippolais icterina,1998,27/05/1998
Härmsångare, Hippolais icterina,1999,30/05/1999
Härmsångare, Hippolais icterina,2000,24/05/2000
Härmsångare, Hippolais icterina,2001,25/05/2001
Härmsångare, Hippolais icterina,2002,27/05/2002
Härmsångare, Hippolais icterina,2003,29/05/2003
Härmsångare, Hippolais icterina,2004,24/05/2004
Härmsångare, Hippolais icterina,2005,26/05/2005
Härmsångare, Hippolais icterina,2006,01/06/2006
Härmsångare, Hippolais icterina,2007,29/05/2007
Härmsångare, Hippolais icterina,2008,26/05/2008
Härmsångare, Hippolais icterina,2009,26/05/2009
Härmsångare, Hippolais icterina,2010,27/05/2010
Härmsångare, Hippolais icterina,2011,30/05/2011
Härmsångare, Hippolais icterina,2012,28/05/2012
Härmsångare, Hippolais icterina,2013,31/05/2013
Härmsångare, Hippolais icterina,2014,26/05/2014
Härmsångare, Hippolais icterina,2015,02/06/2015
Härmsångare, Hippolais icterina,2016,24/05/2016
Härmsångare, Hippolais icterina,2017,27/05/2017
Eksångare, Hippolais pallida,2013,09/06/2013
Hussvala, Delichon urbica,1950,03/06/1950
Hussvala, Delichon urbica,1952,10/06/1952
Hussvala, Delichon urbica,1955,08/06/1955
Hussvala, Delichon urbica,1957,10/06/1957
Hussvala, Delichon urbica,1960,13/06/1960
Hussvala, Delichon urbica,1961,21/05/1961
Hussvala, Delichon urbica,1962,05/06/1962
Hussvala, Delichon urbica,1963,21/05/1963
Hussvala, Delichon urbica,1964,04/06/1964
Hussvala, Delichon urbica,1965,28/05/1965
Hussvala, Delichon urbica,1967,10/06/1967
Hussvala, Delichon urbica,1968,11/06/1968
Hussvala, Delichon urbica,1969,31/05/1969
Hussvala, Delichon urbica,1970,10/06/1970
Hussvala, Delichon urbica,1971,01/06/1971
Hussvala, Delichon urbica,1972,30/05/1972
Hussvala, Delichon urbica,1973,05/06/1973
Hussvala, Delichon urbica,1974,04/06/1974
Hussvala, Delichon urbica,1975,05/06/1975
Hussvala, Delichon urbica,1976,12/06/1976
Hussvala, Delichon urbica,1977,07/06/1977
Hussvala, Delichon urbica,1978,07/06/1978
Hussvala, Delichon urbica,1979,06/06/1979
Hussvala, Delichon urbica,1980,03/06/1980
Hussvala, Delichon urbica,1981,04/06/1981
Hussvala, Delichon urbica,1982,31/05/1982
Hussvala, Delichon urbica,1983,02/06/1983
Hussvala, Delichon urbica,1984,03/06/1984
Hussvala, Delichon urbica,1985,05/06/1985
Hussvala, Delichon urbica,1986,29/05/1986
Hussvala, Delichon urbica,1987,07/06/1987
Hussvala, Delichon urbica,1988,26/05/1988
Hussvala, Delichon urbica,1989,31/05/1989
Hussvala, Delichon urbica,1990,29/05/1990
Hussvala, Delichon urbica,1991,02/06/1991
Hussvala, Delichon urbica,1992,28/05/1992
Hussvala, Delichon urbica,1993,29/05/1993
Hussvala, Delichon urbica,1994,01/06/1994
Hussvala, Delichon urbica,1995,23/05/1995
Hussvala, Delichon urbica,1996,27/05/1996
Hussvala, Delichon urbica,1997,31/05/1997
Hussvala, Delichon urbica,1998,31/05/1998
Hussvala, Delichon urbica,1999,31/05/1999
Hussvala, Delichon urbica,2000,02/06/2000
Hussvala, Delichon urbica,2001,30/05/2001
Hussvala, Delichon urbica,2002,31/05/2002
Hussvala, Delichon urbica,2003,01/06/2003
Hussvala, Delichon urbica,2004,31/05/2004
Hussvala, Delichon urbica,2005,31/05/2005
Hussvala, Delichon urbica,2006,31/05/2006
Hussvala, Delichon urbica,2007,27/05/2007
Hussvala, Delichon urbica,2008,01/06/2008
Hussvala, Delichon urbica,2009,27/05/2009
Hussvala, Delichon urbica,2010,31/05/2010
Hussvala, Delichon urbica,2011,28/05/2011
Hussvala, Delichon urbica,2012,30/05/2012
